id;name;meaning;gender;origin;PeoplesCount;WhenPeoplesCount;Source
31232;Avery;Elf ruler or from the old ford;Male;English;104000;04.07.2016 20:15:43;myData.biz
31233;Avery;rules the elves;Male;Anglo;104000;04.07.2016 20:15:51;myData.biz
31234;Avery;Rules the elves;Male;Anglo-Saxon;104000;04.07.2016 20:16:00;myData.biz
31235;Avery;Rules with elf-wisdom.;Male;French;104000;04.07.2016 20:16:07;myData.biz
31236;Averyel;Variant of Avery.;Female;English;3;04.07.2016 20:16:16;myData.biz
31237;Averyl;Born in April;Female;English;275;04.07.2016 20:16:27;myData.biz
31238;Avi;father;Male;Hebrew;53000;04.07.2016 20:16:32;myData.biz
31239;Avia;Modern blend of Ava and Ana.;Female;English;10000;04.07.2016 20:16:41;myData.biz
31240;Aviana;Modern blend of Ava and Ana.;Female;English;1000;04.07.2016 20:16:48;myData.biz
31241;Aviance;Modern blend of Ava and Ana.;Female;English;1000;04.07.2016 20:16:57;myData.biz
31242;Avianna;Modern blend of Ava and Ana.;Female;English;381;04.07.2016 20:17:05;myData.biz
31243;Avice;Warlike;Female;French;408;04.07.2016 20:17:15;myData.biz
31244;Avicenna;myth name;Male;Arabic;3000;04.07.2016 20:17:21;myData.biz
31245;Avichai;My father is alive;Male;Hebrew;275;04.07.2016 20:17:31;myData.biz
31246;Avichayil;Gives joy;Female;Hebrew;38;04.07.2016 20:17:39;myData.biz
31247;Avidan;God is just;Male;Hebrew;1000;04.07.2016 20:17:45;myData.biz
31248;Avidan;God is just or father;Male;Hebrew;1000;04.07.2016 20:17:51;myData.biz
31249;Avidor;Father of a multitude;Male;Hebrew;354;04.07.2016 20:18:03;myData.biz
31250;Aviel;Father;Male;Hebrew;1000;04.07.2016 20:18:09;myData.biz
31251;Avigail;Gives joy;Female;Hebrew;2000;04.07.2016 20:18:17;myData.biz
31252;Avigdor;Father protection;Male;Hebrew;881;04.07.2016 20:18:24;myData.biz
31253;Avilon;Arthur's burial place;Female;Arthurian Legend;498;04.07.2016 20:18:32;myData.biz
31254;Avimelech;Father is king;Male;Hebrew;37;04.07.2016 20:18:43;myData.biz
31255;Avinoam;Pleasant father;Male;Hebrew;514;04.07.2016 20:18:48;myData.biz
31256;Aviram;Father of heights;Male;Hebrew;2000;04.07.2016 20:18:56;myData.biz
31257;Avis;Refuge in battle;Female;English;38000;04.07.2016 20:19:03;myData.biz
31258;Avisha;Gift from God;Male;Hebrew;806;04.07.2016 20:19:14;myData.biz
31259;Avishai;Gift from God;Male;Hebrew;1000;04.07.2016 20:19:21;myData.biz
31260;Avital;Father of dew;Male;Hebrew;4000;04.07.2016 20:19:29;myData.biz
31261;Aviv;Young;Male;Hebrew;127000;04.07.2016 20:19:36;myData.biz
31262;Aviva;Innocent: Springtime.;Female;Hebrew;43000;04.07.2016 20:19:44;myData.biz
31263;Aviva;Strength or courage. Also a reference to Abraham;Male;Hebrew;43000;04.07.2016 20:19:51;myData.biz
31264;Avivah;Springtime.;Female;Hebrew;486;04.07.2016 20:20:02;myData.biz
31265;Avivi;Innocent: Springtime.;Female;Hebrew;707;04.07.2016 20:20:08;myData.biz
31266;Avivit;Innocent;Female;Hebrew;608;04.07.2016 20:20:18;myData.biz
31267;Avlynn;Variant of medieval given names Avis and Aveline;Female;English;11;04.07.2016 20:20:26;myData.biz
31268;Avner;Father of light;Male;Hebrew;3000;04.07.2016 20:20:32;myData.biz
31269;Avniel;Father or strong;Male;Hebrew;83;04.07.2016 20:20:45;myData.biz
31270;Avniel;God is my rock;Male;Hebrew;83;04.07.2016 20:20:48;myData.biz
31271;Avonaco;"Cheyenne name meaning &quot; lean bear.&quot; AWAN";Male;Native;30;04.07.2016 20:21:02;myData.biz
31272;Avonaco;Lean bear (Cheyenne);Male;Native American;30;04.07.2016 20:21:04;myData.biz
31273;Avonmora;From the great river;Female;Irish;7;04.07.2016 20:21:12;myData.biz
31274;Avonmore;From the great river;Male;Irish;666;04.07.2016 20:21:24;myData.biz
31275;Avraham;Father of a multitude;Male;Hebrew;6000;04.07.2016 20:21:28;myData.biz
31276;Avrey;;Male;Unknown;182;04.07.2016 20:21:39;myData.biz
31277;Avriel;Opening buds of spring: born in April.;Female;English;661;04.07.2016 20:21:45;myData.biz
31278;Avril;born in April;Female;English;45000;04.07.2016 20:21:52;myData.biz
31279;Avril;Opening buds of spring: born in April.;Female;English;45000;04.07.2016 20:22:01;myData.biz
31280;Avrill;Opening buds of spring: born in April.;Female;English;744;04.07.2016 20:22:16;myData.biz
31281;Avryl;Born in April;Female;English;220;04.07.2016 20:22:27;myData.biz
31282;Avsalom;Father of peace;Male;Hebrew;4;04.07.2016 20:22:32;myData.biz
31283;Avshalom;Father of peace;Male;Hebrew;550;04.07.2016 20:22:41;myData.biz
